user_ID,Pseudo names,user_start,household_ID,hh_start,hh_receipt_id,day_recorded,rcpt_C02_ave,rcpt_C02_total,rcpt_weight,rcpt_items_n
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,7,14.8835671296302,220.69805194805195,1087600,4928,2
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,8,14.8840277777778,220.69805194805195,1087600,4928,2
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,9,14.8830246527769,220.69805194805195,1087600,4928,2
17,Phil,2023-04-26T10:30:00Z,6,2023-04-26T10:30:00Z,12,21.0481504629635,190.34625322997417,736640,3870,10
25,Henry,2023-05-09T12:30:00Z,10,2023-05-02T12:00:00Z,8,15.166771874999,171.22356020942408,3270370,19100,40
21,Olivia,2023-05-01T17:30:00Z,9,2023-05-01T17:30:00Z,4,16.7351196759249,243.34502667543669,3329690,13683,24
28,James,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,9,15.5893915509267,349.0032472116335,2966388,8499.6,39
28,James,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,10,18.029942939814,192.57132762123487,2180100,11321,18
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,10,18.7640057870359,378.1699664940603,2483064,6566,11
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,11,19.024515972223,257.9341646554036,3847346,14916,41
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,12,19.0250116898147,214.97607655502392,1617480,7524,12
23,Jane,2023-05-02T12:00:00Z,10,2023-05-02T12:00:00Z,9,19.1890174768506,304.17771883289123,229350,754,4
29,Sara,2023-05-04T09:00:00Z,14,2023-05-04T09:00:00Z,7,18.0076505787036,117.97626683771648,367850,3118,9
29,Sara,2023-05-04T09:00:00Z,14,2023-05-04T09:00:00Z,8,18.0080947916679,182,91000,500,1
24,John,2023-05-02T14:09:00Z,11,2023-05-02T14:09:00Z,13,19.8524924768507,217.87181594083813,1060600,4868,2
18,Chris,2023-04-26T13:30:00Z,7,2023-04-26T13:30:00Z,5,26.1591446759248,346.084793936523,3652925,10555,29
28,James,2023-05-03T17:30:00Z,13,2023-05-03T17:30:00Z,11,18.7269266203708,292.0689655172414,423500,1450,3
27,Nick,2023-05-03T10:20:00Z,12,2023-05-03T10:20:00Z,6,21.94772488426,192.55548780487806,1578955,8200,12
